"grid_cell_NE","DEM_val","roads_val","NLCD_val","NLCD_label"
89,1514.03588867188,2.93855667114258,7,"grassland"
90,1386.88854980469,12.4591264724731,7,"grassland"
91,1292.93920898438,10.2094831466675,5,"forest"
92,1133.69091796875,5.99854373931885,5,"forest"
93,874.762084960938,16.5646438598633,5,"forest"
94,624.158752441406,21.0846347808838,5,"forest"
95,583.990234375,22.6950416564941,6,"shrubland"
96,629.701354980469,23.0331687927246,6,"shrubland"
97,655.413208007812,14.1799030303955,5,"forest"
98,829.597717285156,51.680492401123,5,"forest"
99,937.927185058594,14.3958768844604,5,"forest"
100,942.970947265625,30.7943992614746,5,"forest"
101,1064.55700683594,40.8744087219238,5,"forest"
102,1100.00622558594,31.6680545806885,5,"forest"
103,948.048645019531,34.078010559082,5,"forest"
104,1034.16748046875,19.7458477020264,5,"forest"
105,1183.66125488281,20.7978401184082,5,"forest"
106,1076.98620605469,19.3912811279297,5,"forest"
107,810.883178710938,35.5856170654297,5,"forest"
108,895.736389160156,31.4281959533691,5,"forest"
109,1141.93896484375,26.3188762664795,5,"forest"
110,1304.33911132812,11.2380647659302,5,"forest"
111,1408.52905273438,10.5509662628174,5,"forest"
112,1493.68518066406,22.354564666748,5,"forest"
113,1441.20959472656,2.13256764411926,5,"forest"
114,1292.71472167969,10.8443813323975,5,"forest"
115,1341.70166015625,7.32463264465332,5,"forest"
116,1321.11828613281,48.8939552307129,5,"forest"
117,1536.14978027344,2.65814661979675,7,"grassland"
118,1552.55187988281,9.87414264678955,7,"grassland"
119,1360.67370605469,11.0898199081421,5,"forest"
120,1215.85583496094,11.6271705627441,5,"forest"
121,1165.65881347656,5.73193407058716,5,"forest"
122,1055.02551269531,24.3389110565186,7,"grassland"
123,692.643371582031,27.6650772094727,7,"grassland"
124,571.596984863281,28.4896202087402,5,"forest"
125,610.887084960938,23.9405956268311,5,"forest"
126,607.944213867188,26.5816631317139,5,"forest"
127,754.438110351562,24.7646160125732,5,"forest"
128,998.689514160156,17.2511558532715,5,"forest"
129,1209.74780273438,11.9172811508179,5,"forest"
130,1296.56530761719,19.1625785827637,5,"forest"
131,1153.57165527344,16.2896671295166,5,"forest"
132,972.744079589844,10.9885320663452,5,"forest"
133,1104.30102539062,19.5452251434326,5,"forest"
134,1168.10522460938,17.8405857086182,5,"forest"
135,1025.90966796875,31.4167537689209,5,"forest"
136,805.856811523438,23.9688510894775,5,"forest"
137,798.258361816406,45.9898223876953,5,"forest"
138,1217.60717773438,23.4292373657227,5,"forest"
139,1594.77111816406,10.5576257705688,5,"forest"
140,1609.66625976562,6.67498159408569,5,"forest"
141,1482.59692382812,7.19004201889038,5,"forest"
142,1345.81750488281,0.450539350509644,5,"forest"
143,1175.40686035156,14.8559494018555,5,"forest"
144,1096.97521972656,25.8079032897949,5,"forest"
145,1159.09362792969,28.4518203735352,5,"forest"
146,1624.50134277344,0,6,"shrubland"
147,1668.49658203125,5.45225477218628,5,"forest"
148,1462.76049804688,0,5,"forest"
149,1240.84289550781,11.0108766555786,5,"forest"
150,1114.123046875,22.939826965332,5,"forest"
151,955.271728515625,24.5283756256104,5,"forest"
152,693.771667480469,22.1171035766602,6,"shrubland"
153,546.347900390625,24.0423564910889,5,"forest"
154,552.081176757812,18.1933326721191,5,"forest"
155,568.828918457031,23.2397308349609,5,"forest"
156,755.304748535156,17.155086517334,5,"forest"
157,1007.56402587891,28.4036655426025,5,"forest"
158,1262.57348632812,22.8349266052246,5,"forest"
159,1232.740234375,15.8655853271484,5,"forest"
160,1070.69104003906,25.5618000030518,5,"forest"
161,1144.1083984375,18.1123828887939,5,"forest"
162,1194.79138183594,30.548828125,5,"forest"
163,1181.71789550781,19.7525329589844,5,"forest"
164,1078.99499511719,12.6572408676147,5,"forest"
165,881.395812988281,18.0119342803955,5,"forest"
166,792.665100097656,33.9005661010742,5,"forest"
167,1087.29797363281,17.0809421539307,5,"forest"
168,1352.16784667969,22.5644187927246,5,"forest"
169,1373.9189453125,9.50160980224609,5,"forest"
170,1352.31384277344,9.36130714416504,5,"forest"
171,1206.31506347656,4.06517362594604,5,"forest"
172,1135.03796386719,22.4937324523926,5,"forest"
173,1123.86279296875,26.5503749847412,5,"forest"
174,1025.78942871094,22.3086280822754,5,"forest"
175,1656.84045410156,0,5,"forest"
176,1716.65893554688,8.25907325744629,5,"forest"
177,1539.26892089844,2.16248679161072,5,"forest"
178,1281.24572753906,23.7787609100342,5,"forest"
179,1120.51257324219,26.902027130127,5,"forest"
180,1080.33557128906,18.4371852874756,5,"forest"
181,814.844177246094,14.7855358123779,5,"forest"
182,491.876098632812,18.3235416412354,1,"water"
183,564.508422851562,33.8325309753418,5,"forest"
184,696.997680664062,19.4836502075195,5,"forest"
185,750.124816894531,22.7423496246338,5,"forest"
186,980.713745117188,19.2721900939941,5,"forest"
187,1190.83386230469,13.4674091339111,5,"forest"
188,1089.55554199219,25.1551742553711,5,"forest"
189,1057.74670410156,9.28395843505859,5,"forest"
190,1212.28881835938,13.045841217041,5,"forest"
191,1274.64245605469,18.0598602294922,5,"forest"
